,group,log10(LAI).2.5%,log10(LAI).25%,log10(LAI).50%,log10(LAI).75%,log10(LAI).97.5%
39,iCell Endothelial cells Cytoplasmic Integrity,-1.921194963,-0.05527155,0.232160594,0.717309784,1.877752384
40,iCell Endothelial cells Cell Number,-1.818917907,0.025876897,0.300214601,0.744778604,1.397307685
41,iCell Cardiomyocytes Peak Rise time - 90 min,-1.09657543,0.142377928,0.325887152,0.561269604,1.362227835
42,iCell Cardiomyocytes Peak Rise time - 15 min,-1.220778538,-0.145792615,0.174842242,0.441322671,1.33240746
43,iCell Cardiomyocytes Peak Width - 90 min,-0.906060448,0.055377501,0.294586132,0.473963972,1.532519965
44,iCell Cardiomyocytes Peak Width - 15 min,-0.946974208,-0.180035751,0.228801212,0.507795157,1.528104688
45,iCell Cardiomyocytes Peak Spacing - 90 min,-1.005255079,0.016826404,0.45533273,1.154932983,1.772749417
46,iCell Cardiomyocytes Peak Spacing - 15 min,-1.031200161,-0.065151651,0.254857526,0.901786107,1.738261915
47,iCell Cardiomyocytes Peak Amplitude - 90 min,-1.196501581,-0.093989021,0.10844609,0.359689274,1.131370557
48,iCell Cardiomyocytes Peak Amplitude - 15 min,-1.255494694,-0.033614971,0.100316179,0.256728269,1.203998099
49,iCell Cardiomyocytes Mitochondrial Integrity,-0.998145039,-0.38963884,0.388210086,0.864748869,1.722273666
50,iCell Cardiomyocytes Decay to Rise Ratio - 90 min,-0.928958401,0.160696877,0.459355055,0.845348236,1.533151008
51,iCell Cardiomyocytes Decay to Rise Ratio - 15 min,-1.025045952,-0.143256541,0.224498643,0.614324202,1.579821902
52,iCell Cardiomyocytes Peak Decay time - 90 min,-0.863115881,0.027789586,0.28516773,0.491579025,1.581329755
53,iCell Cardiomyocytes Peak Decay time - 15 min,-0.919737297,-0.134079906,0.259942635,0.523676667,1.597424453
54,iCell Cardiomyocytes Beats Per Minute - 90 min,-0.945497147,0.035073942,0.625225916,1.413762605,2.443014261
55,iCell Cardiomyocytes Beats Per Minute - 15 min,-1.42811365,-0.458171304,-0.166625727,0.26872361,1.12706727
56,iCell Cardiomyocytes Cell Number,-0.642287014,0.015382653,0.507272523,1.160594738,2.87681664
